stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
37950,37950,"NE 65th St & 32nd Ave NE (WB)",,47.675784,-122.293355,21,0
37450,37450,"NE 65th St & 33rd Ave NE (EB)",,47.675786,-122.291939,21,0
37940,37940,"NE 65th St & 35th Ave NE (WB)",,47.675781,-122.290499,21,0
37460,37460,"NE 65th St & 35th Ave NE (EB)",,47.675781,-122.289982,21,0
37930,37930,"NE 65th St & 37th Ave NE (WB)",,47.675781,-122.288061,21,0
37470,37470,"NE 65th St & 38th Ave NE (EB)",,47.675781,-122.286563,21,0
37920,37920,"NE 65th St & 39th Ave NE (WB)",,47.675781,-122.285875,21,0
37480,37480,"NE 65th St & 40th Ave NE (EB)",,47.675784,-122.284573,21,0
37910,37910,"NE 65th St & 42nd Ave NE (WB)",,47.675781,-122.283857,21,0
37490,37490,"NE 65th St & 43rd Ave NE (EB)",,47.675784,-122.281932,21,0
37900,37900,"NE 65th St & 44th Ave NE (WB)",,47.675784,-122.28124,21,0
37500,37500,"NE 65th St & 45th Ave NE (EB)",,47.675784,-122.279225,21,0
37890,37890,"NE 65th St & 47th Ave NE (WB)",,47.675778,-122.278212,21,0
37860,37860,"NE 65th St & 52nd Ave NE (WB)",,47.675756,-122.271851,21,0
37850,37850,"NE 65th St & 55th Ave NE (WB)",,47.675745,-122.269357,21,0
70020,70020,"68th Ave NE & NE 175th St (NB)",,47.757403,-122.249795,19,0
70022,70022,"68th Ave NE & NE Bothell Way (NB)",,47.759247,-122.249727,19,0
58140,58140,"68th Ave S & S 196th St (SB)",,47.426016,-122.249394,24,0
79240,79240,"68th Ave S & S 212th St (SB)",,47.411665,-122.249421,24,0
70681,70681,"NE 68th St & 6th St S (EB)",,47.666733,-122.195666,19,0
72140,72140,"NE 68th St & 112th Ave NE (WB)",,47.666574,-122.191111,19,0
72312,72312,"NE 70th Pl & 116th Ave NE (EB)",,47.668944,-122.184458,19,0
72060,72060,"NE 70th Pl & 132nd Ave NE (WB)",,47.666974,-122.164758,19,0
72380,72380,"NE Old Redmond Rd & 137th Ave NE (EB)",,47.667059,-122.157815,19,0
72050,72050,"NE Old Redmond Rd & 137th Ave NE (WB)",,47.66702,-122.158291,19,0
72310,72310,"NE 70th St & 120th Ave NE (EB)",,47.66821,-122.179599,19,0
72100,72100,"NE 70th St & 124th Ave NE (WB)",,47.668158,-122.175013,19,0
72330,72330,"NE 70th St & 124th Ave NE (EB)",,47.668147,-122.174212,19,0
72435,72435,"NE Old Redmond Rd & 151st Ave NE (EB)",,47.66781,-122.13893,19,0
72005,72005,"NE Old Redmond Rd & 151st Ave NE (WB)",,47.66781,-122.138926,19,0
72442,72442,"NE Old Redmond Rd & NE 68th St (EB)",,47.666475,-122.135448,19,0
71990,71990,"NE Old Redmond Rd & NE 68th St (WB)",,47.667092,-122.136093,19,0
72290,72290,"NE 68th St & 112th Ave NE (EB)",,47.666774,-122.19073,19,0
72294,72294,"NE 72nd Pl & 116th Ave NE (EB)",,47.669396,-122.18793,19,0
72134,72134,"NE 72nd Pl & 116th Ave NE (WB)",,47.669237,-122.188221,19,0
23600,23600,"NE 75th St & 12th Ave NE (WB)",,47.683054,-122.31566,21,0
82275,82275,"NE 75th St & 20th Ave NE (EB)",,47.683043,-122.306054,21,0
37600,37600,"NE 75th St & 41st Ave NE (WB)",,47.683037,-122.283651,21,0
37750,37750,"NE 75th St & 42nd Ave NE (EB)",,47.683037,-122.283179,21,0
37760,37760,"NE 75th St & 44th Ave NE (EB)",,47.683034,-122.280977,21,0
37571,37571,"NE 75th St & 44th Ave NE (WB)",,47.683034,-122.280908,21,0
37770,37770,"NE 75th St & 46th Ave NE (EB)",,47.683032,-122.278474,21,0
37570,37570,"NE 75th St & 48th Ave NE (WB)",,47.683029,-122.277139,21,0
37780,37780,"NE 75th St & 48th Ave NE (EB)",,47.683029,-122.276276,21,0
37560,37560,"NE 75th St & 50th Ave NE (WB)",,47.683029,-122.274762,21,0
37790,37790,"NE 75th St & 50th Ave NE (EB)",,47.683026,-122.274013,21,0
37800,37800,"NE 75th St & 52nd Ave NE (EB)",,47.683024,-122.271351,21,0
37810,37810,"NE 75th St & 55th Ave NE (EB)",,47.683021,-122.269194,21,0
63462,63462,"78th Ave SE & SE 28th St (SB)",,47.585684,-122.233635,19,0
63735,63735,"78th Ave SE & SE 32nd St (SB)",,47.582708,-122.233663,19,0
17100,17100,"N 80th St & Corliss Ave N (EB)",,47.686863,-122.330708,21,0
